YEAR,PRODUCT_GROUP,PRODUCT_MODULE,ELAPSED_TIME
2006,1016,3610,00:00:45
2006,1016,1196,00:00:55
2006,1016,1191,00:01:09
2006,1501,4012,00:00:50
2006,1016,1193,00:01:19
2006,1016,1192,00:01:41
2006,1501,4002,00:01:25
2006,1501,4005,00:01:30
2006,1501,4003,00:01:36
2006,1501,4008,00:01:27
2006,1501,4007,00:01:11
2006,1501,4004,00:03:04
2006,1501,4006,00:01:40
2006,1501,4009,00:00:41
2006,1501,4011,00:00:56
2006,5501,7531,00:00:43
2006,1501,4001,00:01:38
2006,5501,7418,00:00:42
2006,5501,7415,00:01:29
2006,1501,4000,00:05:30
2006,5501,7417,00:01:21
2006,5501,7416,00:01:00
2006,5519,6013,00:01:07
2006,6015,8439,00:00:40
2006,2502,3547,00:00:40
2006,2502,3548,00:01:29
2006,6015,7270,00:03:10
2006,2502,3589,00:00:42
2006,2502,3586,00:01:31
2006,6015,7265,00:05:02
2006,2502,3549,00:00:47
2006,2502,3546,00:01:22
2006,2502,3550,00:01:55
2006,2502,3556,00:01:31
2006,2502,3587,00:01:02
2006,2502,3588,00:01:58
2006,2502,3590,00:02:33
2006,2502,3545,00:00:47
2006,2502,3555,00:00:49
2006,2502,3553,00:01:01
2006,2502,3554,00:00:59
2006,0504,1023,00:00:41
2006,2502,3606,00:01:42
2006,0504,1013,00:00:43
2006,0504,1024,00:00:43
2006,0504,1003,00:01:03
2006,0504,1427,00:00:41
2006,0504,1014,00:00:53
2006,0504,1002,00:00:57
2006,0504,1428,00:00:45
2006,0504,1026,00:00:41
2006,0504,1012,00:00:59
2006,0504,1016,00:00:43
2006,0504,1009,00:00:52
2006,0504,1006,00:00:42
2006,0504,1090,00:00:45
2006,0504,1011,00:00:55
2006,0504,1021,00:01:18
2006,0504,1017,00:01:17
2006,0504,1007,00:00:46
2006,0504,1008,00:00:43
2006,0504,1028,00:00:43
2006,0504,1027,00:00:43
2006,0504,1010,00:00:41
2006,2009,2643,00:00:47
2006,0504,1020,00:01:01
2006,2009,2682,00:00:59
2006,2009,2645,00:00:43
2006,2009,2679,00:00:42
2006,2009,2683,00:00:53
2006,2009,2690,00:00:44
2006,2009,2680,00:00:43
2006,2009,2688,00:00:50
2006,2009,2687,00:00:43
2006,2009,2691,00:00:41
2006,2009,2681,00:00:53
2006,2009,2686,00:00:44
2006,2009,2607,00:01:11
2006,2009,2689,00:00:39
2006,6009,8611,00:00:47
2006,6009,8496,00:01:10
2006,4504,7145,00:00:48
2006,6009,8465,00:01:57
2006,4504,7155,00:00:39
2006,4504,7175,00:00:57
2006,4504,7105,00:01:15
2006,4504,7115,00:01:31
2006,4504,7142,00:00:41
2006,4504,7125,00:00:57
2006,4504,7194,00:01:04
2006,4504,7135,00:01:03
2006,4504,7126,00:00:48
2006,4504,7141,00:00:41
2006,4504,7106,00:01:22
2006,4504,7118,00:00:46
2006,4504,7140,00:00:51
2006,4504,7117,00:00:42
2006,4504,7170,00:00:41
2006,4504,7100,00:00:48
2006,4504,7160,00:01:23
2006,4504,7150,00:02:51
2006,1012,1298,00:00:48
2006,1012,1442,00:01:36
2006,1012,1297,00:01:02
2006,1012,1296,00:00:46
2006,1505,1365,00:01:06
2006,1012,1468,00:01:24
2006,1012,3629,00:01:42
2006,5505,7371,00:00:48
2006,5505,7360,00:00:46
2006,5505,7370,00:00:59
2006,5505,7385,00:00:46
2006,5505,7373,00:00:51
2006,5505,7375,00:00:54
2006,6011,8479,00:00:46
2006,6011,8477,00:00:42
2006,6011,8535,00:01:09
2006,6011,8554,00:01:03
2006,6011,8471,00:04:57
2006,6011,8478,00:04:10
2006,6011,8474,00:00:53
2006,6011,8485,00:01:51
2006,6011,8557,00:00:41
2006,6011,8777,00:00:50
